Type	File	Dataset	ClusterError	Errors	Score
2	citeseer.rkbexplorer.com---kisti.rkbexplorer.com.nt	kisti.rkbexplorer.com	[http://kisti.rkbexplorer.com/id/PER_00000000000000102531, http://kisti.rkbexplorer.com/id/PER_00000000000000102528]	2	1
2	linkedgeodata.org---sws.geonames.org.nt	linkedgeodata.org	[http://linkedgeodata.org/triplify/node354301996, http://linkedgeodata.org/triplify/node354301991]	2	1
2	oai.rkbexplorer.com---citeseer.rkbexplorer.com.nt	oai.rkbexplorer.com	[http://oai.rkbexplorer.com/id/cs1.ist.psu.edu/oai:CiteSeerPSU:531064, http://oai.rkbexplorer.com/id/dspace.mit.edu/oai:dspace.mit.edu:1721.1/12180]	2	1
2	oai.rkbexplorer.com---dblp.rkbexplorer.com.nt	oai.rkbexplorer.com	[http://oai.rkbexplorer.com/id/cs1.ist.psu.edu/oai:CiteSeerPSU:641175, http://oai.rkbexplorer.com/id/oai.library.jhu.edu/oai:jscholarship.library.jhu.edu:1774.2/28]	2	1
2	eprints.rkbexplorer.com---oai.rkbexplorer.com.nt	oai.rkbexplorer.com	[http://oai.rkbexplorer.com/id/eprints.ucl.ac.uk/person-6b692738c5cb8204a057f1431cd90df5-31771c27515e722388c22c65263cb195, http://oai.rkbexplorer.com/id/espace.library.uq.edu.au/person-016b2af51131cece6c230b5e55085b72-fa733dbc5fb857ce240d2f0cd1bfc833]	2	1
2	dblp.rkbexplorer.com---oai.rkbexplorer.com.nt	oai.rkbexplorer.com	[http://oai.rkbexplorer.com/id/hal.inria.fr/person-92516426b1ceda0a067ca2909bc14f8d-db1d994557f8c5181e6cab498d95558c, http://oai.rkbexplorer.com/id/hal.inria.fr/person-92516426b1ceda0a067ca2909bc14f8d-5cd0f737fcde5ad97ae81bd5cc1c0a90]	2	1
2	oai.rkbexplorer.com---dotac.rkbexplorer.com.nt	oai.rkbexplorer.com	[http://oai.rkbexplorer.com/id/northumbria.openrepository.com/oai:northumbria.openrepository.com:10145/41313, http://oai.rkbexplorer.com/id/ogma.newcastle.edu.au:8080/oai:ogma.newcastle.edu.au:uon:1553]	2	1
2	dblp.rkbexplorer.com---oai.rkbexplorer.com.nt	oai.rkbexplorer.com	[http://oai.rkbexplorer.com/id/rogue.ncl.ac.uk/person-98b1cea6f616d865a663bcb2f12ec67f-caead32f8ef71b81e5a2853f1891dc78, http://oai.rkbexplorer.com/id/rogue.ncl.ac.uk/person-98b1cea6f616d865a663bcb2f12ec67f-3df93df90863918c0ebc6e43fcf46567]	2	1
2	rae2001.rkbexplorer.com---rae2001.rkbexplorer.com.nt	rae2001.rkbexplorer.com	[http://rae2001.rkbexplorer.com/id/resource-H-0160:UoA-14:Id-227156:PubNum-1, http://rae2001.rkbexplorer.com/id/resource-H-0117:UoA-14:Id-201056:PubNum-1]	2	1
2	repository.unand.ac.id---repository.unand.ac.id.nt	repository.unand.ac.id	[http://repository.unand.ac.id/id/eprint/5165, http://repository.unand.ac.id/id/eprint/1296]	2	1
